VFID	VF category	multi_cat	vf_category0	vf_category1	vf_category2	vf_category3	vf_category0_subcat0	vf_category0_subcat1	vf_category0_subcat2	vf_category0_subcat3	vf_category0_subcat4	vf_category1_subcat0	vf_category1_subcat1	vf_category1_subcat2	vf_category1_subcat3	vf_category2_subcat0	vf_category2_subcat1	vf_category2_subcat2	vf_category3_subcat0	vf_category3_subcat1
VF0938	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF0939	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- hemophore-dependent	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- hemophore-dependent				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Heme uptake system	 Gram- hemophore-dependent									
VF0940	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- hemophore-dependent	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- hemophore-dependent				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Heme uptake system	 Gram- hemophore-dependent									
VF0941	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- non-hemophore-dependent	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- non-hemophore-dependent				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Heme uptake system	 Gram- non-hemophore-dependent									
VF0942	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); Lipase/Esterase	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); Lipase/Esterase				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)	 Lipase/Esterase										
VF0943	Effector delivery system; Type VI secretion system (T6SS); T6SS components	false	Effector delivery system; Type VI secretion system (T6SS); T6SS components				Effector delivery system	 Type VI secretion system (T6SS)	 T6SS components											
VF0944	Effector delivery system; Type VI secretion system (T6SS); T6SS components	false	Effector delivery system; Type VI secretion system (T6SS); T6SS components				Effector delivery system	 Type VI secretion system (T6SS)	 T6SS components											
VF0945	Effector delivery system; Type II secretion system (T2SS)	false	Effector delivery system; Type II secretion system (T2SS)				Effector delivery system	 Type II secretion system (T2SS)												
VF0946	Exoenzyme; Protease	false	Exoenzyme; Protease				Exoenzyme	 Protease												
VF0947	Effector delivery system; Type III secretion system (T3SS); T3SS effectors	false	Effector delivery system; Type III secretion system (T3SS); T3SS effectors				Effector delivery system	 Type III secretion system (T3SS)	 T3SS effectors											
VF0948	Effector delivery system; Type III secretion system (T3SS); T3SS effectors	false	Effector delivery system; Type III secretion system (T3SS); T3SS effectors				Effector delivery system	 Type III secretion system (T3SS)	 T3SS effectors											
VF0949	Effector delivery system; Type III secretion system (T3SS); T3SS effectors	false	Effector delivery system; Type III secretion system (T3SS); T3SS effectors				Effector delivery system	 Type III secretion system (T3SS)	 T3SS effectors											
VF0950	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0951	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0952	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0953	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0954	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0955	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0956	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0957	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0958	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0959	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0960	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0961	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0962	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0963	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0964	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0965	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0966	Adherence; Fimbrial adhesin; Type IV pili; Type IVb pili (T4bP)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVb pili (T4bP)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVb pili (T4bP)										
VF0967	Motility; Flagella-mediated motility; Flagella assembly	false	Motility; Flagella-mediated motility; Flagella assembly				Motility	 Flagella-mediated motility	 Flagella assembly											
VF0968	Invasion | Adherence; Non-fimbrial adhesin; Cell wall anchored protein	true	Invasion 	 Adherence; Non-fimbrial adhesin; Cell wall anchored protein			Invasion 					 Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein						
VF0969	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0970	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF0971	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF0972	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF0973	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va)	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va)				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)											
VF0974	Effector delivery system; Type VI secretion system (T6SS); T6SS components	false	Effector delivery system; Type VI secretion system (T6SS); T6SS components				Effector delivery system	 Type VI secretion system (T6SS)	 T6SS components											
VF0975	Effector delivery system; Type VI secretion system (T6SS); T6SS components	false	Effector delivery system; Type VI secretion system (T6SS); T6SS components				Effector delivery system	 Type VI secretion system (T6SS)	 T6SS components											
VF0976	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Cytolysin ClyA family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Cytolysin ClyA family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Alpha-PFT	 Cytolysin ClyA family									
VF0977	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Cytolysin ClyA family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Cytolysin ClyA family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Alpha-PFT	 Cytolysin ClyA family									
VF0978	Effector delivery system; Type III secretion system (T3SS); T3SS effectors	false	Effector delivery system; Type III secretion system (T3SS); T3SS effectors				Effector delivery system	 Type III secretion system (T3SS)	 T3SS effectors											
VF0979	Regulation	false	Regulation				Regulation													
VF0980	Others	false	Others				Others													
VF0981	Others	false	Others				Others													
VF0982	Exoenzyme; Protease	false	Exoenzyme; Protease				Exoenzyme	 Protease												
VF0983	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF0984	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF0985	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Ferrous iron binding 	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Ferrous iron binding 				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Ferrous iron binding 										
VF0986	Exotoxin; Intracellularly active toxin; DNase/Genotoxin	false	Exotoxin; Intracellularly active toxin; DNase/Genotoxin				Exotoxin	 Intracellularly active toxin	 DNase/Genotoxin											
VF0987	Exotoxin; Intracellularly active toxin; DNase/Genotoxin	false	Exotoxin; Intracellularly active toxin; DNase/Genotoxin				Exotoxin	 Intracellularly active toxin	 DNase/Genotoxin											
VF0988	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Cytolysin ClyA family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Cytolysin ClyA family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Alpha-PFT	 Cytolysin ClyA family									
VF0989	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Alpha-PFT; Colicin family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Alpha-PFT	 Colicin family									
VF0990	Exotoxin; Membrane-acting toxin; Superantigen	false	Exotoxin; Membrane-acting toxin; Superantigen				Exotoxin	 Membrane-acting toxin	 Superantigen											
VF0991	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Beta-PFT										
VF0993	Exoenzyme; Nuclease	false	Exoenzyme; Nuclease				Exoenzyme	 Nuclease												
VF0994	Exoenzyme; Protease	false	Exoenzyme; Protease				Exoenzyme	 Protease												
VF0995	Immune modulation; Complement evasion/Serum resistance	false	Immune modulation; Complement evasion/Serum resistance				Immune modulation	 Complement evasion/Serum resistance												
VF0996	Immune modulation	false	Immune modulation				Immune modulation													
VF0997	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0998	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0999	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF1000	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
